name;address;number_of_floors;number_of_shops
Казнь;клх Советский пр. Кирпичный д. 13 стр. 8/3 721680;10;120
Применяться;клх Кашира ул. Мостовая д. 1 стр. 2 859596;1;17
Господь;д. Учалы наб. Дзержинского д. 92 к. 510 152753;2;38
Потрясти;ст. Елабуга алл. Строителей д. 1 стр. 9 522666;9;171
Монета;ст. Ямбург ул. Союзная д. 887 к. 81 942995;18;288
Триста;с. Углич ш. Союзное д. 565 152794;10;120
Неправда;с. Елабуга ш. Ветеранов д. 39 к. 6/6 277043;9;135
Порода;клх Саров (Морд.) пр. Профсоюзный д. 8 637514;5;70
Прошептать;с. Объячево алл. Кольцова д. 2/7 к. 6/8 972276;13;143
Инвалид;ст. Томск бул. Подлесный д. 9 стр. 8/9 285411;20;380
Актриса;г. Воркута ул. Маркса Карла д. 557 стр. 4/1 973599;17;272
Ход;с. Каменномостский пр. Машиностроителей д. 4/9 стр. 4 261160;15;225
Функция;ст. Слюдянка ш. Высоцкого д. 40 к. 1 548503;6;96
Соответствие;д. Городовиковск бул. Ленинградский д. 261 к. 625 750582;6;120
Изображать;с. Ессентуки наб. Кузнецкая д. 8 стр. 1 549037;8;120
Полюбить;с. Рязань наб. Микрорайон д. 7 к. 28 692748;2;40
Ручей;п. Черский наб. Культуры д. 368 438733;11;220
Падать;г. Братск ш. Большевистское д. 648 к. 6 358240;12;168
Посидеть;ст. Токсово пер. Торговый д. 79 800785;4;72
Радость;д. Кизилюрт алл. Депутатская д. 9 стр. 987 750628;7;112
Неожиданно;п. Зеленогорск (Ленин.) наб. Почтовая д. 804 стр. 3/5 232626;15;150
Песенка;п. Артем наб. Краснофлотская д. 5/4 к. 9 202651;6;114
Скрытый;п. Эльбрус пер. Герцена д. 220 к. 363 840989;6;60
Тесно;п. Ейск пер. Братский д. 5/1 стр. 867 557559;10;150
Лететь;клх Ардон бул. Социалистический д. 7/8 к. 8 002133;5;95
Упор;п. Волгоград пр. Совхозный д. 39 481241;16;160
Вариант;п. Орехово-Зуево ш. Зои Космодемьянской д. 583 к. 744 632911;15;180
Выбирать;к. Москва МГУ ш. Шевченко д. 6 к. 8/4 591711;4;64
Конструкция;к. Орск наб. Сурикова д. 74 к. 84 051636;18;288
Ребятишки;п. Сковородино алл. Запорожская д. 7 140297;10;100
Дрогнуть;к. Тында бул. Морской д. 1/8 524708;2;28
Вывести;к. Алдан пр. Высоковольтный д. 9/5 808489;11;220
Беспомощный;ст. Сочи ш. Ватутина д. 43 стр. 129 258019;17;187
Вздрагивать;к. Ачинск пер. Волочаевский д. 5 к. 3 948490;2;34
Налоговый;ст. Фатеж бул. Торговый д. 66 581333;4;76
О;к. Кинешма наб. Угольная д. 27 стр. 64 259502;11;132
Госпожа;клх Катайск алл. Королева д. 1/6 636351;18;252
Лиловый;ст. Каргополь ул. Лермонтова д. 776 к. 189 434996;12;120
Забирать;д. Ставрополь алл. Мирная д. 9 к. 6/1 571226;10;180
Багровый;с. Мураши бул. Краснопартизанский д. 894 стр. 7 003071;7;140
Нервно;п. Светлогорск (Калин.) бул. Халтурина д. 582 к. 158 051614;13;221
Избегать;к. Александровск-Сахалинский ул. Ключевая д. 670 761408;20;240
Потянуться;д. Верхний Баскунчак пр. Шоссейный д. 96 588765;5;65
Похороны;к. Агинское (Забайк.) наб. Кольцевая д. 631 561625;7;140
Появление;г. Владикавказ ул. Кооперативная д. 6/5 302317;10;100
Совещание;с. Белый Яр (Томск.) алл. Пархоменко д. 8 к. 6/2 265226;10;190
Бетонный;клх Вуктыл алл. Цветочная д. 9 стр. 17 102776;6;108
Роскошный;с. Иркутск ш. Островского д. 4/5 к. 3 884272;16;224
Роскошный;д. Вологда ул. Юности д. 3/9 к. 602 705949;3;60
Цель;к. Челябинск пр. 8 Марта д. 485 373714;4;44
Монета;с. Любань пер. Высоковольтный д. 8/8 к. 575 320071;17;340
Костер;клх Каменск-Шахтинский ш. Кузнецкое д. 690 стр. 5/9 242812;3;60
Ставить;с. Верхотурье пр. Коминтерна д. 5/1 870978;20;360
Привлекать;ст. Диксон пр. Поперечный д. 327 стр. 394 516901;18;324
Недостаток;клх Тимашевск бул. Российский д. 2/5 стр. 432 658013;13;234
Рабочий;с. Казань наб. Ленина д. 49 стр. 4/3 666918;1;16
Один;ст. Горячинск алл. Свободная д. 67 839660;6;120
Слать;п. Вязьма бул. Мелиораторов д. 2/5 к. 9 012567;7;98
Ныне;к. Йошкар-Ола наб. Высотная д. 692 к. 110 809875;10;120
Редактор;д. Адлер пр. Уральский д. 9 стр. 643 382245;1;19
Совещание;ст. Верхний Тагил наб. Карла Маркса д. 5/6 383223;14;168
Приходить;ст. Кош-Агач пр. Минина д. 2 к. 78 543657;15;225
Самостоятельно;ст. Артем бул. 60 лет СССР д. 1/5 стр. 9 685872;4;48
Солнце;г. Вологда алл. Островского д. 4 240316;15;165
Лиловый;клх Усть-Баргузин наб. Ангарская д. 46 к. 2 534151;20;280
Спичка;д. Пинега ул. Парижской Коммуны д. 51 806315;13;156
Достоинство;клх Уварово пер. Хвойный д. 54 192257;19;247
Сустав;к. Вытегра ш. Кедровое д. 865 787206;13;221
Чувство;с. Новочеркасск бул. Р.Люксембург д. 48 171368;4;76
Разводить;г. Пушкин бул. Степной д. 2 717771;9;99
Мгновение;г. Тырныауз пр. Славянский д. 8/7 886166;20;380
Покидать;к. Пенза ул. Механизаторов д. 3 к. 39 722666;18;342
Запретить;с. Оленегорск (Якут.) алл. Механизаторов д. 491 к. 4/5 498997;6;120
Поздравлять;ст. Радужный пер. Лесхозный д. 22 466289;7;70
Порода;с. Чебаркуль алл. Гастелло д. 1 373013;20;200
Налоговый;ст. Чермоз алл. Щетинкина д. 914 к. 2/1 028673;12;228
Зеленый;к. Ростов-на-Дону пр. Заозерный д. 1 к. 5/7 726324;5;75
Конференция;д. Шахты бул. Новоселов д. 7/5 058855;20;400
Запустить;п. Сургут (Хант.) ул. Суворова д. 3 стр. 14 467819;12;204
Проход;с. Смирных наб. Тельмана д. 9/8 стр. 9/7 656994;12;240
Заплакать;клх Ербогачен наб. Февральская д. 4 к. 4 823194;14;266
Команда;с. Поярково ш. Чкалова д. 996 стр. 2/3 751749;15;255
Растеряться;клх Красновишерск ул. Промышленная д. 5/3 стр. 22 614868;2;28
Космос;п. Звенигород бул. Новостройка д. 47 к. 91 772412;20;380
Покидать;ст. Эльбрус ул. Деповская д. 1 стр. 92 119429;18;306
Выдержать;клх Вилюйск пр. Коммунистический д. 698 стр. 495 179259;9;108
Подземный;ст. Асино наб. Громова д. 1 к. 96 881432;18;198
Отражение;ст. Миасс ул. Радищева д. 4 стр. 952 862639;12;192
Поймать;с. Елабуга алл. Свободная д. 9/3 к. 6/5 948474;4;60
Сынок;г. Яхрома ш. Ломоносова д. 8 стр. 25 150812;7;70
Выразить;клх Анадырь ул. Безымянная д. 708 к. 22 904494;5;55
Князь;д. Каспийск пр. З.Космодемьянской д. 6 129984;10;160
Изменение;п. Набережные Челны бул. Флотский д. 425 к. 797 624341;4;40
Академик;д. Снежногорск (Мурм.) наб. Красина д. 240 к. 9 810594;1;17
Роскошный;г. Воткинск бул. Владимирский д. 5 стр. 4 989437;17;204
Миллиард;клх Оренбург алл. Волгоградская д. 97 стр. 12 970330;6;102
Рот;с. Белгород пер. Кутузова д. 8/2 390222;5;95
Кпсс;г. Брянск ул. Рязанская д. 66 стр. 6/5 099228;6;108
Исполнять;к. Алексин бул. 9 Января д. 115 620151;8;80
Дыхание;п. Краснокамск пер. Карла Либкнехта д. 69 к. 3 703507;4;80
При;к. Бреды бул. Амурский д. 4/4 к. 90 190895;11;154
Протягивать;с. Йошкар-Ола бул. Ворошилова д. 2/7 к. 8 622446;11;209
Человечек;ст. Тымовское ул. Грибоедова д. 8/9 к. 262 053318;17;238
Спасть;г. Урюпинск пер. Железнодорожный д. 3/8 577843;10;170
Демократия;с. Соль-Илецк пр. Фестивальный д. 4 577631;13;130
Проход;д. Юрьевец (Иван.) наб. Майская д. 2/7 стр. 11 504895;8;152
Левый;с. Дно пр. Труда д. 587 618176;2;20
Задержать;с. Балашов наб. Ленская д. 3/3 стр. 9 821254;4;68
Изображать;д. Славгород ул. 50 лет Победы д. 630 стр. 341 276203;5;55
Видимо;к. Сосьва (Хант.) ш. Луначарского д. 407 стр. 1/9 864904;10;180
Новый;с. Красноярск ул. Ульянова д. 29 к. 404 202356;12;132
Естественный;г. Уфа алл. Привокзальная д. 478 к. 680 901272;20;400
Девка;д. Нижний Новгород ш. Прудное д. 2/2 527837;16;320
Валюта;д. Красновишерск пер. Жукова д. 26 к. 4/2 208606;14;238
Лететь;ст. Певек пр. Партизанский д. 46 к. 3/1 456172;18;234
Тесно;д. Холмск бул. Металлургов д. 9/7 стр. 60 373214;4;76
Сынок;с. Октябрьский (Башк.) ш. Бажова д. 75 к. 6/3 912687;9;162
Цепочка;д. Мценск пер. Механический д. 33 стр. 5 253690;18;342
Роса;с. Вытегра ш. Котовского д. 512 стр. 26 392640;20;360
Назначить;г. Усть-Джегута пер. Ульяновский д. 6 669964;7;77
Угодный;с. Тырныауз ул. Донская д. 7 346561;15;270
Пропадать;п. Лабинск ш. Стахановское д. 6 к. 6/7 644411;6;60
Вряд;к. Когалым пр. Революционный д. 3 к. 48 978696;12;180
Отражение;с. Сосьва (Хант.) алл. Олимпийская д. 9 216705;14;238
Мимо;клх Верхотурье пр. Одесский д. 6 стр. 19 503145;14;168
Тревога;д. Магнитогорск ш. Логовое д. 8/3 к. 68 120314;4;40
Вперед;с. Куртамыш ш. Циолковского д. 23 107182;20;380
Потрясти;д. Пышма бул. Главный д. 113 к. 549 719211;1;17
Сравнение;клх Северобайкальск ш. Журавлева д. 4 365526;5;65
Ребятишки;с. Ступино алл. Коммунаров д. 677 стр. 909 140218;11;176
Изредка;ст. Борзя бул. Карла Маркса д. 95 стр. 38 169569;17;221
Головка;к. Псков ш. Лермонтова д. 2/4 756452;16;256
Тюрьма;к. Калязин пр. Заозерный д. 88 к. 3 236726;15;210
Полностью;п. Октябрьское (Хант.) наб. Короленко д. 6 к. 6 196105;9;90
Покидать;г. Агата наб. Курганная д. 45 к. 24 919659;11;132
Задержать;п. Каневская ш. М.Горького д. 83 159058;10;100
Место;к. Гремячинск (Бурят.) пр. Иркутский д. 9 268692;2;26
Угроза;к. Ачинск бул. Энергетический д. 2 300834;15;285
Очередной;п. Краснотурьинск пер. Юности д. 7/5 426005;10;130
Отдел;ст. Шали пер. Р.Люксембург д. 47 к. 9/1 144695;19;380
Ложиться;к. Новгород Великий наб. Томская д. 37 074170;1;20
Народ;к. Когалым пр. Восточный д. 50 к. 4/9 617741;3;51
Роса;д. Тамбей пр. Зеленый д. 351 стр. 15 484621;7;140
Житель;к. Галич алл. Высотная д. 53 906836;17;187
Июнь;п. Ярославль пр. Шмидта д. 2 стр. 5 119941;17;204
Присесть;клх Ербогачен ул. Ударная д. 857 613838;11;143
А;с. Кропоткин (Краснод.) наб. Енисейская д. 9/5 к. 7/5 464392;6;66
Развитый;п. Игарка пр. Осипенко д. 8 263683;14;210
Падаль;г. Шатура пер. Крымский д. 468 к. 1/4 077636;1;18
Порог;д. Карабудахкент пр. Звездный д. 78 к. 5 219992;6;66
Назначить;г. Нязепетровск ш. Ореховое д. 8 к. 5/8 649419;5;60
Помолчать;д. Холмск пер. Целинный д. 84 236325;8;152
Порт;д. Голицыно пр. Дачный д. 60 стр. 120 130630;14;252
Механический;клх Калач алл. Путевая д. 5 107082;4;60
Отражение;д. Сорочинск наб. Энтузиастов д. 9/8 стр. 7 879966;10;200
Актриса;п. Стрежевой бул. Привольный д. 7 стр. 3/1 161468;13;260
Белье;г. Кущевская ш. Семашко д. 5/5 к. 2 210337;6;60
Пересечь;д. Губаха пр. Индустриальный д. 536 016964;8;128
Более;с. Кострома ул. Малая д. 2/1 449916;11;176
Багровый;г. Киров (Вятка) пр. Мичурина д. 5 370554;20;220
Растеряться;г. Морозовск пер. Нефтяников д. 6/6 к. 67 235355;1;10
Потрясти;с. Троицко-Печорск наб. Загородная д. 52 к. 6/5 265338;3;42
Решетка;с. Барнаул бул. Зои Космодемьянской д. 85 545160;18;288
Исследование;д. Галич пр. Л.Толстого д. 53 420424;9;108
Ботинок;д. Нижнекамск пр. Нахимова д. 579 к. 1 030113;15;240
Правление;г. Вологда ш. Попова д. 50 338278;3;45
Налево;клх Кашира ш. Покровское д. 172 к. 6 960073;10;200
Вскакивать;клх Тикси ш. Тимирязева д. 93 стр. 2/9 828986;13;156
Необычный;п. Тольятти пер. Омский д. 24 стр. 6/8 961016;11;121
Бабочка;к. Новороссийск пр. Мелиоративный д. 55 стр. 8/1 438718;20;300
Миф;д. Неплюевка пер. Магистральный д. 2/2 476137;15;180
Домашний;г. Верхоянск алл. Кузнечная д. 35 548620;14;252
Девка;п. Каргасок бул. Матросова д. 15 стр. 175 437356;6;60
Лапа;клх Буденновск ул. Пригородная д. 2 стр. 194 350491;4;72
Протягивать;клх Макушино ул. Заречная д. 2 к. 8 209216;12;156
Полюбить;с. Алагир ул. Стахановская д. 7 к. 90 954883;8;152
Устройство;клх Анива пер. Кедровый д. 2/4 стр. 67 233543;1;20
Радость;к. Азов (Рост.) ш. Таежное д. 47 186406;4;68
Вскинуть;г. Верхний Тагил пр. Фадеева д. 2/3 к. 339 394283;12;216
Коробка;клх Тюмень алл. Юности д. 5 к. 1/2 095876;8;152
Господь;клх Воркута алл. Воронежская д. 22 к. 10 712414;4;44
Мальчишка;с. Долинск ш. Островского д. 7/8 686599;7;119
Налоговый;п. Североуральск ш. Сенное д. 9/4 к. 1/5 673408;18;216
Слишком;д. Уварово пр. Серафимовича д. 613 к. 30 166944;14;196
Указанный;ст. Якутск бул. Чехова д. 6/9 517853;19;380
Даль;г. Кингисепп наб. Депутатская д. 7/4 к. 31 473891;7;133
Важный;с. Рубцовск ш. Клары Цеткин д. 82 051658;6;90
Горький;ст. Петушки бул. Отрадный д. 8 513246;19;380
Наткнуться;д. Саранск ул. Социалистическая д. 5/6 к. 6/2 808495;1;19
Июнь;к. Пушкинские Горы пер. Космодемьянской д. 8 737910;17;187
Встать;к. Семлячики ш. Ленинградское д. 25 к. 3 308419;12;216
Карман;п. Обнинск бул. Щербакова д. 720 к. 15 425088;19;228
Поколение;клх Усть-Илимск пер. Леваневского д. 93 605494;8;112
Материя;ст. Невьянск пер. Парижской Коммуны д. 9/7 к. 771 569072;20;300
Уронить;ст. Нарткала алл. Победа д. 3/5 261760;15;225
Некоторый;ст. Рыльск бул. Ульянова д. 2/4 стр. 88 674589;14;196
Роса;ст. Боровск ул. Сиреневая д. 682 к. 8 096539;15;165
Исполнять;ст. Арзамас наб. Геологическая д. 773 к. 445 318164;3;48
Освобождение;д. Туруханск бул. Титова д. 2 584282;18;198
Плавно;г. Александровск ш. Волкова д. 6/1 810241;8;128
Невыносимый;г. Арсеньев пер. Выгонный д. 285 865824;6;72
Господь;клх Нефтеюганск пер. Московский д. 567 к. 793 562402;8;144
Собеседник;п. Вязьма пер. Октябрьский д. 8/8 к. 79 646468;10;140
Затянуться;к. Тольятти алл. Полярная д. 3/2 217872;6;102
Протягивать;к. Качканар наб. Лазурная д. 353 стр. 12 034390;17;306
Инструкция;клх Канск бул. Сурикова д. 97 921527;6;72
Экзамен;с. Славянск-на-Кубани ул. Вольная д. 2 381501;9;126
Выражение;клх Наро-Фоминск ул. Нахимова д. 81 к. 6 126188;11;209
Тревога;к. Сальск бул. Овражный д. 4 146903;19;304
Разнообразный;клх Северодвинск бул. Смирнова д. 7 к. 6/4 425718;4;40
Штаб;п. Талдом ул. Мелиораторов д. 443 к. 711 542575;15;285
Команда;д. Кострома наб. Казачья д. 47 к. 914 893316;5;70
Вскинуть;д. Гдов наб. Подгорная д. 8 607141;11;187
Интернет;ст. Юрьевец (Иван.) бул. О.Кошевого д. 81 стр. 2/6 572840;19;361
Потянуться;к. Камышин ул. Молодежная д. 8 516526;14;140
Неожиданный;с. Ирбит пр. Ермака д. 41 601890;3;60
Промолчать;д. Арзамас ул. Макарова д. 9/6 к. 2 277668;12;180
Вытаскивать;д. Вуктыл пр. Суворова д. 8 к. 7 387153;14;238
Смеяться;п. Нижнеудинск пер. Московский д. 42 стр. 88 792286;8;120
Уничтожение;г. Грозный пр. Рязанский д. 39 715886;4;52
Полностью;п. Нижнеудинск ш. Раздольное д. 66 к. 130 850056;8;128
Возбуждение;к. Усть-Ишим бул. Выгонный д. 541 стр. 42 788718;12;228
Коробка;ст. Енисейск пр. Проточный д. 278 стр. 29 873505;2;28
Доставать;клх Шарья алл. 9 мая д. 6 072261;4;80
Торопливый;с. Нижнеудинск ул. Мусы Джалиля д. 2/7 788763;11;209
Тюрьма;с. Нязепетровск бул. Максима Горького д. 910 587318;6;114
Низкий;г. Ельня наб. Трудовая д. 807 к. 2/9 202168;13;260
Роса;ст. Кириши ш. Астраханское д. 9/2 стр. 20 321061;7;105
Упор;г. Соль-Илецк ул. Овражная д. 70 стр. 642 339262;6;90
Монета;к. Новый Уренгой пр. Камский д. 17 к. 985 639650;4;76
Уничтожение;к. Видное пр. Короленко д. 2/1 к. 49 764591;18;306
Ягода;с. Саров (Морд.) ш. Нагорное д. 17 067886;3;54
Тревога;клх Партизанск ш. Павлова д. 68 стр. 3 307437;3;51
Разнообразный;г. Нарым пр. Свободы д. 73 стр. 22 356286;19;380
Князь;д. Ейск наб. Сибирская д. 5/9 065947;1;16
Следовательно;ст. Белоярский ш. Иркутское д. 45 стр. 3/9 828835;8;144
Ответить;к. Артем ул. Рылеева д. 5/8 стр. 35 517539;11;110
Анализ;клх Наро-Фоминск алл. Саратовская д. 6/6 к. 874 410060;15;300
Еврейский;г. Таганрог пер. Молодежный д. 89 к. 5/4 460058;13;195
Пропаганда;п. Троицк (Моск.) алл. Интернациональная д. 89 стр. 6/2 122701;19;285
Эпоха;к. Иркутск бул. Степной д. 316 870116;19;285
Ход;г. Адлер ул. Санаторная д. 4 к. 7 983325;2;34
Решетка;клх Аргаяш алл. Щербакова д. 378 стр. 6 153823;5;50
Пол;клх Дербент бул. Краснофлотский д. 4/3 к. 1 242480;13;208
Демократия;г. Мелеуз алл. Крылова д. 367 к. 22 956180;11;121
Палка;д. Можайск ш. Запорожское д. 8 стр. 5 142753;18;324
Избегать;к. Меренга алл. Чапаева д. 8/9 к. 35 401156;10;140
Командующий;клх Верхоянск ш. Энергетическое д. 3/2 стр. 34 390509;14;280
Даль;г. Котлас пр. Вокзальный д. 45 116320;18;342
Ярко;д. Благовещенск (Амур.) ул. Ветеранов д. 508 стр. 734 384818;14;154
Умолять;г. Бологое наб. Красноармейская д. 653 270939;2;40
Мера;ст. Арсеньев алл. Льва Толстого д. 3 к. 1 198839;6;90
Лететь;к. Нарьян-Мар пер. 1 Мая д. 74 стр. 1/8 416338;5;75
Заработать;с. Тавда пер. Полтавский д. 9/3 295150;14;252
Прощение;ст. Медногорск бул. Челюскинцев д. 37 к. 631 632062;18;306
Пастух;п. Териберка ш. Энгельса д. 2/4 стр. 3/8 287592;1;10
Военный;клх Нягань бул. Хвойный д. 4 стр. 8/7 312809;18;324
Помолчать;д. Солнечногорск пр. Урицкого д. 9/4 к. 86 226157;4;52
Низкий;с. Россошь наб. Ставропольская д. 6 стр. 3 320459;9;180
Заведение;клх Нижнеудинск ул. Совхозная д. 30 стр. 9/6 922946;13;234
Другой;к. Сладково ш. Раздольное д. 31 к. 3 939903;4;40
Крыса;г. Избербаш алл. Авиационная д. 3 690818;8;80
Пропасть;с. Тырныауз бул. Щетинкина д. 3 стр. 75 537766;10;100
Добиться;клх Брянск бул. Терешковой д. 662 к. 5 314958;2;20
Уничтожение;г. Стерлитамак ул. Коммунистическая д. 45 694871;9;108
Поставить;п. Рославль пр. 50 лет Победы д. 62 стр. 189 940203;9;153
Коллектив;п. Новомосковск пер. Карбышева д. 8/8 к. 2/2 729040;15;210
Трубка;клх Бомнак бул. Выгонный д. 78 к. 859 719196;19;247
Расстегнуть;с. Пинега ул. Юности д. 227 стр. 82 034486;13;208
Иной;ст. Кедровый пер. Строителей д. 429 к. 70 092647;7;98
Правильный;ст. Кузнецк ш. Чапаева д. 1 к. 9/1 147056;9;117
Ответить;с. Середниково ш. Иркутское д. 44 стр. 7 044165;17;187
Очутиться;к. Новороссийка бул. Малый д. 586 728622;18;270
Казнь;к. Кяхта ш. Южное д. 6/2 стр. 5 399254;10;130
Одиннадцать;г. Медногорск пер. Рабочий д. 7 стр. 22 718160;17;289
Снимать;к. Тверь ул. Тенистая д. 16 281001;3;33
Инфекция;д. Киров (Вятка) пр. Димитрова д. 449 к. 995 062948;20;400
Подземный;ст. Калининград ул. Дорожников д. 48 к. 395 433360;11;176
Число;клх Лодейное Поле алл. Фурманова д. 9/5 к. 95 533861;19;190
Палец;д. Яшалта бул. Тенистый д. 151 к. 1/1 623512;19;342
Дорогой;клх Тверь алл. Космонавтов д. 4/2 346036;16;272
Господь;п. Кизел бул. Школьный д. 2 007421;20;360
Вообще;д. Адлер пер. Высоковольтный д. 99 485789;11;110
Некоторый;ст. Усть-Ишим пер. Химиков д. 5/2 612390;9;108
Дыхание;к. Макаров бул. Вахитова д. 175 254906;18;270
Художественный;г. Ступино наб. Светлая д. 79 649500;7;91
Написать;п. Карталы ш. Революционное д. 2/1 стр. 20 454574;6;72
Процесс;к. Аша ул. Элеваторная д. 222 стр. 9 423572;16;160
Покинуть;клх Амдерма бул. Азина д. 9/4 стр. 118 300319;15;300
Приятель;к. Серафимович пр. Черемушки д. 927 487838;4;72
Подробность;к. Тура ул. Колхозная д. 8/9 054066;11;132
Бегать;к. Озеры наб. Восьмого Марта д. 6/3 к. 5/8 771413;4;60
Упор;клх Курганинск ш. Никитина д. 83 к. 5/5 339947;15;225
Витрина;ст. Черусти бул. Ушакова д. 55 к. 2/9 778670;16;176
Счастье;д. Боровск алл. Советов д. 295 к. 2/8 455714;3;54
Один;д. Ишим алл. Высокая д. 403 к. 885 754108;5;95
Тута;к. Ставрополь алл. Фабричная д. 4/5 к. 87 923211;10;190
Грудь;ст. Лотошино пер. Пугачева д. 628 647166;3;45
Призыв;ст. Инта пр. Гвардейский д. 25 775872;4;56
Важный;клх Баксан ул. Озерная д. 95 стр. 7 631733;17;238
Процесс;д. Туруханск пр. Аэродромный д. 47 стр. 57 405731;10;190
Заложить;п. Красная Поляна алл. Промышленная д. 4/9 к. 8/7 369095;4;68
Труп;ст. Луховицы ул. Безымянная д. 5/6 стр. 3/8 617014;18;306
Еврейский;г. Нефедова ул. Целинная д. 2/2 791157;17;340
Выражаться;клх Тырныауз наб. Болотная д. 1/2 734139;11;220
Страсть;г. Карабудахкент бул. Байкальский д. 73 к. 5 726352;19;323
Угол;ст. Карпинск ш. Тюленина д. 64 стр. 824 199822;8;144
Кольцо;с. Сорочинск пер. Гайдара д. 112 182516;6;114
Возмутиться;д. Балтийск бул. Ярославский д. 39 к. 4/3 821252;16;208
Нервно;с. Гремячинск (Бурят.) бул. Магистральный д. 58 к. 6/3 830254;13;130
Мучительно;д. Сосьва (Хант.) алл. Кутузова д. 481 к. 27 332320;6;90
Изредка;п. Быково (метеост.) пр. Механизаторов д. 9/8 354933;19;361
Счастье;клх Новомосковск бул. Вишневый д. 4 849925;2;32
Потянуться;с. Элиста наб. Ленина д. 5 к. 677 226675;20;240
Кпсс;ст. Рязань наб. Макарова д. 98 680821;1;12
Выкинуть;клх Псебай бул. Славянский д. 2/6 к. 3/8 891069;12;216
Разуметься;г. Ачхой Мартан алл. Короткая д. 8 944707;1;17
Упор;с. Кяхта наб. Металлистов д. 311 стр. 1/7 373032;3;51
Наткнуться;ст. Ахтубинск пер. Пирогова д. 460 стр. 6/6 204715;6;120
Горький;п. Когалым пр. Советов д. 182 к. 7 670340;6;102
Полюбить;к. Грозный пер. Автомобилистов д. 11 843071;1;20
Зарплата;клх Игарка ш. Жуковского д. 103 стр. 6/1 335225;13;195
